code_bss,urn_bss,date_mesure,timestamp_mesure,niveau_nappe_eau,mode_obtention,statut,qualification,code_continuite,nom_continuite,code_producteur,nom_producteur,code_nature_mesure,nom_nature_mesure,profondeur_nappe
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-10-06,-70675200000,140.19,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.54
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-10-13,-70070400000,140.19,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.54
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-10-20,-69465600000,140.17,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.56
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-10-27,-68860800000,140.1,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.63
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-11-03,-68256000000,140.08,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.65
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-11-10,-67651200000,140.03,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.7
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-12-01,-65836800000,140.05,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,1,Point initial,40494388800036,APRONA (40494388800036),,,3.68
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-12-07,-65318400000,139.97,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.76
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-12-15,-64627200000,139.89,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.84
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-12-22,-64022400000,139.87,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.86
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-01-05,-62812800000,140.15,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,1,Point initial,40494388800036,APRONA (40494388800036),,,3.58
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-01-12,-62208000000,140.36,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.37
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-01-19,-61603200000,140.53,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.2
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-01-26,-60998400000,140.53,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.2
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-02-02,-60393600000,140.41,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.32
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-02-08,-59875200000,140.3,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.43
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-02-15,-59270400000,140.29,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.44
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-02-22,-58665600000,140.3,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.43
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-02-29,-58060800000,140.45,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.28
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-03-07,-57456000000,140.26,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.47
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-03-14,-56851200000,140.1,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.63
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-03-21,-56246400000,140.06,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.67
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-03-28,-55641600000,140.07,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.66
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-04-04,-55036800000,140.06,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.67
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-04-25,-53222400000,140.12,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,1,Point initial,40494388800036,APRONA (40494388800036),,,3.61
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-05-15,-51494400000,140.42,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,1,Point initial,40494388800036,APRONA (40494388800036),,,3.31
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-06-06,-49593600000,140.31,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,1,Point initial,40494388800036,APRONA (40494388800036),,,3.42
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-06-11,-49161600000,140.21,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.52
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-06-19,-48470400000,139.95,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.78
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-06-25,-47952000000,139.98,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.75
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-07-02,-47347200000,139.91,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.82
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-07-09,-46742400000,139.87,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.86
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-07-16,-46137600000,139.82,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.91
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-07-23,-45532800000,139.88,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.85
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-07-30,-44928000000,139.89,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.84
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-08-07,-44236800000,139.91,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.82
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-08-13,-43718400000,140.07,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.66
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-08-20,-43113600000,140.25,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.48
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-08-27,-42508800000,139.95,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.78
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1968-09-05,-41731200000,139.94,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.79
